id,label
1,1379.432850697348
2,3851.4135486167634
3,-2547.8105662252524
4,-759.2763640039481
5,2071.05358975365
6,1278.769730174577
7,-158.45571772445214
8,-3245.642468155623
9,-3697.0822307183007
10,3568.1273467763763
11,565.7176518410513
12,616.1479113207405
13,-2732.9475010283113
14,-993.8880591861293
15,-1686.4605492032576
16,-1137.3451758285057
17,-1334.6146673822602
18,1175.0029245579462
19,2134.9377127116068
20,6162.930067286363
21,542.6284095490613
22,-2222.183705435773
23,2327.2025486145617
24,-1046.0247516782965
25,364.5156343877598
26,2698.98197520267
27,3231.2869290737153
28,1282.6763887428579
29,777.7112827984131
30,3196.395517456369
31,2195.1073992872925
32,680.4890928624931
33,-1631.2038777653
34,-828.4021506382438
35,-1674.390882347899
36,-2672.659104529009
37,5529.4503268951075
38,-3356.69809485848
39,-1410.5720574548486
40,-439.50684039286574
41,-1754.5319234411968
42,-446.83708015037655
43,-2949.3510389809285
44,-344.7980084095794
45,3218.713305879955
46,-4183.5303181202635
47,-234.71771595029563
48,-2162.539196467717
49,-1542.005130784874
50,254.56867770500565
51,-2555.0470862676557
52,-2658.809298415671
53,579.6178621865183
54,1380.1801244799744
55,-707.608647783657
56,1331.2716788149305
57,720.6097216558977
