ID,etiqueta
1,627.796512510181
2,1673.6491614423492
3,2127.7707067700594
4,-2160.548987734932
5,4901.837036762145
6,812.387609039292
7,-1066.206807954946
8,-1257.9307297051791
9,-5219.297926936714
10,1795.5559847448824
11,296.2592939887217
12,-3371.0290984016438
13,1488.134417085968
14,-375.1521439876133
15,-340.9570632462973
16,-471.59598762433427
17,2633.169830022334
18,-2653.2798040790717
19,-44.176394540185626
20,-1336.4155848380087
21,1880.717309696598
22,-3239.38649587062
23,540.2537757422389
24,-1174.769363543554
25,-3542.783730415467
26,3569.229597529342
27,-264.796888909535
28,-4447.636008830885
29,4101.648090969191
30,798.5543156121844
31,670.1812082837233
32,-304.0031919294492
33,-2027.2797073462261
34,2236.5078759435037
35,23.208851428658125
36,477.6585071421731
37,-753.7823974066036
38,484.75889123395103
39,4046.105707948077
40,2525.238156414205
41,1123.0621588738086
42,-2768.609179377307
43,-1113.555414551207
44,1719.9494271523793
45,82.04873266279786
46,1176.414145642001
47,-1128.131063561932
48,-1129.5261686010565
49,0.709210268238003
50,-1329.909767997272
51,-1813.7313171602318
52,3102.4564998087426
53,2090.288086662036
54,-4778.088225164131
55,-951.8558024111343
56,-2765.9547820704406
57,-1150.4398779371415
58,-4400.657383767014
59,-2026.766046648554
60,1108.065382763542
61,-4907.517229812726
62,118.66158143135112
63,4906.602485784252
64,1941.3639642588246
65,-4242.5558584447945
66,-758.1725862967838
67,1073.6028776685066
68,3290.9351446656633
69,2769.6868293518755
70,1784.77987594879
71,4145.8635615639805
72,1263.174950842826
73,-91.78873855643997
